FORM,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,LOCATION ,NATURE,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE
,,,,,,COMMUNITY ENFORCEMENT OFFICER - POLICE AND SECURITY WORK,CHURCH,,,PERSONABLE,,MALICIOUS,
,,,,,,COMMUNITY LEARNING AND DEVELOPMENT OFFICER - COMMUNITY EDUCATION,CHURCH / CHAPEL / CATHEDRAL,,,PERSUASIVE,,MANNERED,
,,,,,,COMPANY SECRETARY - ADMINISTRATION AND MANAGEMENT GENERAL,CINEMA,,,PLANFUL,,MANNERLESS,
,,,,,,COMPOSER OR SONGWRITER - MUSIC,CIRCLE OF STONES,,,PLAYFUL,,MAWKISH,
,,,,,,"CONFERENCE PRODUCER - ADVERTISING, MARKETING AND PR",CIRCLE OF WAGONS,,,POLISHED,,MEALYMOUTHED,
,,,,,,CONSTRUCTION MANAGER OR SITE MANAGER - BUILDING TECHNOLOGY AND MANAGEMENT,CIRCUS,,,POPULAR,,MECHANICAL,
,,,,,,CONTROL AND INSTRUMENT ENGINEER - ELECTRICAL AND ELECTRONIC ENGINEERING,CISTERN,,,PRACTICAL,,MEDDLESOME,
,,,,,,COPY EDITOR - PUBLISHING AND WRITING,CITADEL,,,PRECISE,,MELANCHOLIC,
,,,,,,COSTUME DESIGNER - FASHION OR TEXTILE DESIGN,CITY,,,PRINCIPLED,,MERETRICIOUS,
,,,,,,COUNSELLOR - PSYCHOLOGY AND COUNSELLING,CITY HALL,,,PROFOUND,,MESSY,
,,,,,,COUNTRYSIDE RANGER OR WARDEN - ENVIRONMENTAL AND RURAL RESOURCE MANAGEMENT,CIVIC CENTER,,,PROTEAN,,MISERABLE,
,,,,,,COURIER - ROAD TRANSPORT,CLIFF DWELLINGS,,,PROTECTIVE,,MISERLY,
,,,,,,CRAFT DESIGNER OR WORKER - 3 DIMENSIONAL DESIGN,CLINIC,,,PROVIDENTIAL,,MISGUIDED,
,,,,,,CREDIT MANAGER - FINANCIAL SERVICES,CLOCK TOWER,,,PRUDENT,,MISTAKEN,
,,,,,,CREMATORIUM TECHNICIAN - PERSONAL SERVICES,CLOTHING STORE,,,PUNCTUAL,,MONEY-MINDED,
,,,,,,CRIME SCENE EXAMINER - POLICE AND SECURITY WORK,COACH HOUSE,,,PRUPOSEFUL,,MONSTROUS,
,,,,,,CROUPIER - LEISURE,COFFEE SHOP,,,RATIONAL,,MOODY,
,,,,,,CRUISE SHIP WORKER - SEA TRANSPORT,COFFEEHOUSE,,,REALISTIC,,MORBID,
,,,,,,CUSTOMER SERVICE ADMINISTRATOR - ADMINISTRATION AND MANAGEMENT GENERAL,COLLEGE,,,REFLECTIVE,,MUDDLE-HEADED,
,,,,,,CYBER SECURITY ANALYST - IT SECURITY,"COLLEGE (+ ALCHEMIST, ARCANE, BARDS, HEALERS, MAGES, NAVAL, OF ARTIFICERS, OF SCIENCE, ROYAL)",,,RELAXED,,NAIVE,
,,,,,,DANCE MOVEMENT PSYCHOTHERAPIST - PSYCHOLOGY AND COUNSELLING,COLOGNE CATHEDRAL,,,RELIABLE,,NARCISSISTIC,
,,,,,,DANCE TEACHER - DANCE,COLOSSEUM,,,RESOURCEFUL,,NARROW,
,,,,,,DANCER - DANCE,COMMUNITY CENTER,,,RESPECTFUL,,NARROW-MINDED,
,,,,,,DATA ANALYST - COMPUTING GENERAL - MATHEMATICS AND STATISTICS,CONSERVATORY (GREENHOUSE),,,RESPONSIBLE,,NATTY,
,,,,,,DATA SCIENTIST - MATHEMATICS AND STATISTICS - COMPUTING GENERAL,CONSIGNMENT SHOP,,,RESPONSIVE,,NEGATIVISTIC,
,,,,,,DATABASE ADMINISTRATOR - PROGRAMMING AND DEVELOPMENT,CONVENIENCE STORE,,,REVERENTIAL,,NEGLECTFUL,
,,,,,,DELIVERY ASSISTANT - DISTRIBUTION,"CONVENT, NUNNERY",,,ROMANTIC,,NEUROTIC,
,,,,,,DELIVERY DRIVER - DISTRIBUTION,CONVENTION CENTER,,,RUSTIC,,NIHILISTIC,
,,,,,,DEMOLITION OPERATIVE - CONSTRUCTION CRAFTS,COPY SHOP,,,SAGE,,OBNOXIOUS,
,,,,,,DENTAL HYGIENIST OR THERAPIST - DENTISTRY,"CORRAL (CATTLE, HORSE, LIVESTOCK)",,,SANE,,OBSESSIVE,
,,,,,,DENTAL NURSE - DENTISTRY,COTTAGE,,,SCHOLARLY,,OBVIOUS,
,,,,,,DENTAL TECHNICIAN - DENTISTRY,COURTHOUSE,,,SCRUPULOUS,,ODD,
,,,,,,DENTIST - DENTISTRY,COVERED WALKWAY,,,SECURE,,OFFHAND,
,,,,,,DERRICKHAND - OFFSHORE AND ENERGY,COW PASTURE,,,SELFLESS,,ONE-DIMENSIONAL,
,,,,,,DESIGN ENGINEER - ENGINEERING GENERAL,CRATER LAKE,,,SELF-CRITICAL,,ONE-SIDED,
,,,,,,DIETETIC SUPPORT WORKER - DIETETICS,CRATERS OF THE MOON NATIONAL MONUMENT & PRESERVE,,,SELF-DEFACING,,OPINIONATED,
,,,,,,DIETITIAN - DIETETICS,CREMATORIUM,,,SELF-DENYING,,OPPORTUNISTIC,
,,,,,,DIGITAL CONTENT EDITOR - PUBLISHING AND WRITING,CROFT (RENTED FARMHOUSE & LAND),,,SELF-RELIANT,,OPPRESSED,
,,,,,,"DIGITAL MARKETER - ADVERTISING, MARKETING AND PR",CRYPT,,,SELF-SUFFICENT,,OUTRAGEOUS,
,,,,,,DIPLOMATIC SERVICE OPERATIONAL OFFICER - PUBLIC SERVICES ADMINISTRATION,CYBER SPACE,,,SENSITIVE,,OVERIMAGINATIVE,
,,,,,,DISC JOCKEY – DJ - MUSIC TECHNOLOGY - MEDIA AND BROADCASTING,DAM,,,SENTIMENTAL,,PARANOID,
,,,,,,DISPENSING OPTICIAN - OPHTHALMICS AND ORTHOPTICS,DANCE STUDIO,,,SERAPHIC,,PASSIVE,
,,,,,,DISTILLERY WORKER - FOOD AND DRINK MANUFACTURING,"DAYTONA BEACH, FLORIDA",,,SERIOUS,,PEDANTIC,
,,,,,,DIVER - OFFSHORE AND ENERGY - SPORT AND FITNESS,DEATH VALLEY,,,SEXY,,PERVERSE,
,,,,,,DOCTOR – GENERAL PRACTITIONER - MEDICINE AND SURGERY,DECLARATION OF INDEPENDENCE,,,SHARING,,PETTY,
,,,,,,DOCTOR – HOSPITAL - MEDICINE AND SURGERY,DELI,,,SHREWD,,PHARISSICAL,
,,,,,,DOCUMENT CONTROLLER - ADMINISTRATION AND MANAGEMENT GENERAL - BUILDING TECHNOLOGY AND MANAGEMENT,"DEN (+ ASSASSINS, DRUG, GAMBLING, HOOKAH, OPIUM, SMUGGLERS, THIEVES)",,,SIMPLE,,PHLEGMATIC,
,,,,,,DOG GROOMER - WORK WITH ANIMALS,DENTIST,,,SKILLFUL,,PLODDING,
,,,,,,DOG HANDLER - WORK WITH ANIMALS,DEPARTMENT STORE,,,SOBER,,POMPOUS,
,,,,,,DRAMATHERAPIST - THERAPISTS,DESERT,,,SOCIABLE,,POSSESSIVE,
,,,,,,DRILLER - OFFSHORE AND ENERGY,DEVILS TOWER NATIONAL MONUMENT,,,SOLID,,POWER-HUNGRY,
,,,,,,DRILLING ENGINEER - OFFSHORE AND ENERGY,DIAMOND HEAD,,,SOPHISTICATED,,PREDATORY,
,,,,,,DRIVING EXAMINER - ROAD TRANSPORT,"DIG SITE (FOSSILS, MINERALS, RUINS)",,,SPONTANEOUS,,PREJUDICED,
,,,,,,DRIVING INSTRUCTOR - ROAD TRANSPORT,DIKE,,,SPORTING,,PRESUMPTUOUS,
,,,,,,DRY CLEANING OR LAUNDRY WORKER - PERSONAL SERVICES,DINER,,,STABLE,,PRETENTIOUS,
,,,,,,DRYLINER - CONSTRUCTION CRAFTS,DISCOUNT STORE,,,STEADFAST,,PRIM,
,,,,,,DYNAMIC POSITIONING OPERATOR - SEA TRANSPORT,DISCOVERY COVE,,,STEADY,,PROCRASTINATING,
,,,,,,EARLY YEARS PRACTITIONER - CHILDCARE AND EDUCATION,DISNEY WORLD,,,STOIC,,PROFLIGATE,
,,,,,,ECONOMIC DEVELOPMENT OFFICER - PUBLIC SERVICES ADMINISTRATION,DISNEYLAND,,,STRONG,,PROVOCATIVE,
,,,,,,ECONOMIST - ECONOMICS,DISNEYLAND PARIS,,,STUDIOUS,,PUGNACIOUS,
,,,,,,ELECTRICAL ENGINEER - ELECTRICAL AND ELECTRONIC ENGINEERING,"DOCK (BOAT, SHIP, AIRSHIP)",,,SUAVE,,PURITANICAL,
,,,,,,ELECTRICAL OR ELECTRONIC ENGINEERING TECHNICIAN - ELECTRICAL AND ELECTRONIC ENGINEERING,DOCKYARD,,,SUBTLE,,QUIRKY,
,,,,,,ELECTRICIAN - ELECTRICAL AND ELECTRONIC ENGINEERING,DOCTOR'S OFFICE,,,SWEET,,REACTIONARY,
,,,,,,ELECTRICITY DISTRIBUTION WORKER - ELECTRICAL AND ELECTRONIC ENGINEERING,"DOJO, SPARRING HALL, TRAINING HALL",,,SYMPATHETIC,,REACTIVE,
,,,,,,ELECTRONICS ENGINEER - ELECTRICAL AND ELECTRONIC ENGINEERING,DOLLAR STORE,,,SYSTEMATIC,,REGIMENTAL,
,,,,,,EMBALMER - SCIENCE GENERAL,DOME,,,TASTEFUL,,REGRETFUL,
,,,,,,EMERGENCY CALL HANDLER - AMBULANCE SERVICES,DOUBLE DECKER BUS,,,TEACHERLY,,REPENTANT,
,,,,,,ENGINEERING ASSEMBLER - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING) - MANUFACTURING GENERAL,DRESSMAKER,,,THOROUGH,,REPRESSED,
,,,,,,ENGINEERING MACHINE OPERATOR - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),DRIVE-IN MOVIE,,,TIDY,,RESENTFUL,
,,,,,,ENVIRONMENTAL CONSULTANT - ENVIRONMENTAL SERVICES,DRIVE-THROUGH,,,TOLERANT,,RIDICULOUS,
,,,,,,ENVIRONMENTAL HEALTH OFFICER - ENVIRONMENTAL SERVICES,"DRUG (+ DEN, LOUNGE, PARLOR)",,,TRACTABLE,,RIGID,
,,,,,,ENVIRONMENTAL MANAGER - ENVIRONMENTAL AND RURAL RESOURCE MANAGEMENT,DRUGSTORE,,,TRUSTING,,RITUALISTIC,
,,,,,,ERGONOMIST - ENGINEERING GENERAL - 3 DIMENSIONAL DESIGN,"DUGOUT, PIT-HOUSE",,,UNCOMPLAINING,,ROWDY,
,,,,,,ESTATE AGENT - PROPERTY SERVICES,DUNGEON,,,UNDERSTANDING,,RUINED,
,,,,,,ESTATE OR LAND MANAGER - AGRICULTURE,EDINBURGH CASTLE,,,UNDOGMATIC,,SADISTIC,
,,,,,,ESTIMATOR - BUILDING TECHNOLOGY AND MANAGEMENT,EIFFEL TOWER,,,UNFOOLABLE,,SANCTIMONIOUS,
,,,,,,"EVENTS ORGANISER - ADVERTISING, MARKETING AND PR - ARTS ADMINISTRATION",ELECTRONICS STORE,,,UPRIGHT,,SCHEMING,
,,,,,,EXHIBITION DESIGNER - INTERIOR DESIGN OR DISPLAY,ELLIS ISLAND,,,URBANE,,SCORNFUL,
,,,,,,EXPORT SALES MANAGER - RETAIL AND SALES,ELLIS ISLAND IMMIGRATION MUSEUM,,,VENTURESOME,,SECRETIVE,
,,,,,,EXTERMINATOR,"EMBASSY (+ COUNTRY, RACE, REALM, WORLD)",,,VIVACIOUS,,SEDENTARY,
,,,,,,FABRIC CUTTER - CLOTHING AND TEXTILES,EMERGENCY ROOM,,,WARM,,SELFISH,
,,,,,,FABRICATOR OR PLATER - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),EMPIRE STATE BUILDING,,,WELL-BRED,,SELF-INDULGENT,
,,,,,,FACILITIES MANAGER - FACILITIES MANAGEMENT,EMPORIUM,,,WELL-READ,,SHALLOW,
,,,,,,FACTOR – PROPERTY - FACILITIES MANAGEMENT,EPCOT,,,WELL-ROUNDED,,SHORTSIGHTED,
,,,,,,FARM MANAGER - AGRICULTURE,ESTATE,,,WINNING,,SHY,
,,,,,,FARM WORKER OR STOCKPERSON - AGRICULTURE,EVERGLADES NATIONAL PARK,,,WISE,,SILLY,
,,,,,,FARMER,EXECUTIONERS BLOCK,,,WITTY,,SINGLE-MINDED,
,,,,,,FARRIER - WORK WITH ANIMALS,FABRIC STORE,,,YOUTHFUL,,SLOPPY,
,,,,,,FASHION DESIGNER - FASHION OR TEXTILE DESIGN,FACTORY (ASSEMBLY LINE),,,,,SLOW,
,,,,,,"FASHION MODEL - ADVERTISING, MARKETING AND PR",FACTORY OUTLET,,,,,SLY,
,,,,,,FIELD SERVICE TECHNICIAN - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING) - ELECTRICAL AND ELECTRONIC ENGINEERING,FAIRGROUNDS,,,,,SMALL-THINKING,
,,,,,,FILM OR VIDEO EDITOR - MEDIA AND BROADCASTING,FALLING WATER,,,,,SOFTHEADED,
,,,,,,FINANCIAL ADVISER - FINANCIAL SERVICES,FANEUIL HALL MARKETPLACE,,,,,SORDID,
,,,,,,FINE ARTIST - FINE ART OR GRAPHIC DESIGN,FARM,,,,,STEELY,
,,,,,,FIRE FIGHTER,"FARM (ANIMAL, CROP, DAIRY, SHARE CROPPERS)",,,,,STIFF,
,,,,,,FIREFIGHTER - EMERGENCY SERVICES,FARMER'S MARKET,,,,,STRONG-WILLED,
,,,,,,FISH FARM MANAGER - AQUACULTURE AND FISHING,FARMHOUSE,,,,,STUPID,
,,,,,,FISH FARM WORKER - AQUACULTURE AND FISHING,FAST FOOD RESTAURANT,,,,,SUBMISSIVE,
,,,,,,FISHER,FEED STORE,,,,,SUPERFICIAL,
,,,,,,FISHERMAN OR WOMAN - AQUACULTURE AND FISHING,FERRY,,,,,SUPERSTITIOUS,
,,,,,,FITNESS INSTRUCTOR - SPORT AND FITNESS,FESTUNG HOHENSALZBURG,,,,,SUSPICIOUS,
,,,,,,FLIGHT DISPATCHER - AIR TRANSPORT,FIGHTING PIT,,,,,TACTLESS,
,,,,,,FLOOR LAYER OR CARPET FITTER - CONSTRUCTION CRAFTS,FINGER LAKES NATIONAL FOREST,,,,,TASTELESS,
,,,,,,FLOOR MANAGER – TELEVISION - MEDIA AND BROADCASTING,FIRE DEPARTMENT,,,,,TENSE,
,,,,,,FLORIST,FIRE STATION,,,,,THIEVISH,
,,,,,,FLORIST - RETAIL AND SALES - 3 DIMENSIONAL DESIGN,FISHERMAN'S WHARF,,,,,THOUGHTLESS,
,,,,,,FOOD COUNTER ASSISTANT - HOSPITALITY,FIVE-AND-DIME STORE,,,,,TIMID,
,,,,,,FOOD SCIENTIST OR TECHNOLOGIST - FOOD SCIENCE AND TECHNOLOGY - FOOD AND DRINK MANUFACTURING,FIX-IT SHOP,,,,,TRANSPARENT,
,,,,,,FORENSIC COMPUTER ANALYST - IT SECURITY,FLORIST,,,,,TREACHEROUS,
,,,,,,FORENSIC SCIENTIST - CHEMISTRY AND MATERIALS SCIENCE - BIOLOGY,"FLOTILLA (+ TOWN, VILLAGE, CITY)",,,,,TRENDY,
,,,,,,FOREST OR WILDLIFE MANAGER - FORESTRY,FOOD COURT,,,,,TROUBLESOME,
,,,,,,FOREST OR WILDLIFE RANGER - FORESTRY,FORD'S THEATER,,,,,UNAPPRECIATIVE,
,,,,,,FOREST WORKER - FORESTRY,FOREST,,,,,UNCARING,
,,,,,,FORKLIFT TRUCK OPERATOR - DISTRIBUTION,FORESTER'S HOUSE,,,,,UNCHARITABLE,
,,,,,,FORMWORKER - CONSTRUCTION CRAFTS,FORGE,,,,,UNCONVINCING,
,,,,,,FREE,FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE,,,,,UNCOOPERATIVE,
,,,,,,FREIGHT FORWARDER - DISTRIBUTION,FORT SUMTER NATIONAL MONUMENT,,,,,UNCREATIVE,
,,,,,,FRONT END DEVELOPER - WEB AND MULTIMEDIA,"FORT, FORTRESS (+ COASTAL, ISLAND, MOUNTAIN, SEA / WOODEN, STONE, METAL)",,,,,UNCRITICAL,
,,,,,,"FUNDRAISING MANAGER - ADVERTISING, MARKETING AND PR","FORTIFICATIONS (CHEVAL DE FRISE, MOAT, PALISADE, TOWERS, TRENCH, WALL, WOODEN STAKES)",,,,,UNCTUOUS,
,,,,,,FUNERAL DIRECTOR - PERSONAL SERVICES,FOUNTAIN,,,,,UNDISCIPLINED,
,,,,,,FURNITURE DESIGNER - 3 DIMENSIONAL DESIGN,FRANCE,,,,,UNFRIENDLY,
,,,,,,FURNITURE POLISHER OR FINISHER - FURNITURE,FREE,,,,,UNGRATEFUL,
,,,,,,GAMEKEEPER - ENVIRONMENTAL AND RURAL RESOURCE MANAGEMENT,"FREEDOM TOWER, GROUND ZERO",,,,,UNHEALTHY,
,,,,,,GAMES DESIGNER - WEB AND MULTIMEDIA,FREEDOM TRAIL IN BOSTON,,,,,UNIMAGINATIVE,
,,,,,,GAMES PROGRAMMER - WEB AND MULTIMEDIA,FREEHOLD,,,,,UNIMPRESSIVE,
,,,,,,GAMES TESTER - WEB AND MULTIMEDIA,FRENCH QUARTER,,,,,UNLOVABLE,
,,,,,,GANGSTER,FUNERAL HOME,,,,,UNPOLISHED,
,,,,,,GARDEN CENTRE ASSISTANT - RETAIL AND SALES,FURNITURE STORE,,,,,UNPRINCIPLED,
,,,,,,GARDENER - ARBORICULTURE AND HORTICULTURE,GALLERY,,,,,UNREALISTIC,
,,,,,,GARMENT TECHNOLOGIST - CLOTHING AND TEXTILES,"GALLOWS, GIBBET",,,,,UNREFLECTIVE,
,,,,,,GAS HEATING ENGINEER - OFFSHORE AND ENERGY,"GAMBLING (+ DEN, HALL, LOUNGE, PARLOR), CASINO",,,,,UNRELIABLE,
,,,,,,GAS SERVICE ENGINEER - OFFSHORE AND ENERGY,GAME STORE,,,,,UNRESTRAINED,
,,,,,,GENERAL CONSTRUCTION OPERATIVE - CONSTRUCTION CRAFTS,GARAGE,,,,,UNSELF-CRITICAL,
,,,,,,GENETICIST - BIOLOGY,"GARDEN, GARDENS (+ CROP*, FLOWER, HANGING, HERB, MUSHROOM, ROCK, ROOFTOP, SCULPTURE, ZEN)",,,,,UNSTABLE,
,,,,,,GEOLOGIST - EARTH STUDIES,GARRISON,,,,,VACUOUS,
,,,,,,GEOPHYSICIST - PHYSICS,GAS STATION,,,,,VAGUE,
,,,,,,GLASS DESIGNER OR MAKER - 3 DIMENSIONAL DESIGN,GATE HOUSE,,,,,VENAL,
,,,,,,GLAZIER - CONSTRUCTION CRAFTS,"GATE, GATES",,,,,VENOMOUS,
,,,,,,GLAZING TECHNICIAN - VEHICLE MAINTENANCE AND REPAIR,GATEWAY ARCH,,,,,VINDICTIVE,
,,,,,,GOVERNMENT INTELLIGENCE OFFICER OR ANALYST - POLICE AND SECURITY WORK,GERMANY,,,,,VULNERABLE,
,,,,,,GRAPHIC DESIGNER - FINE ART OR GRAPHIC DESIGN,GHOST TOWN,,,,,WEAK,
,,,,,,GRAVE KEEPER,"GIANT (+ CONSTRUCT, GOLEM, IDOL, MECHA, STATUE)",,,,,WEAK-WILLED,
,,,,,,GROUNDSPERSON - ARBORICULTURE AND HORTICULTURE,GIANT'S CAUSEWAY,,,,,WELL-MEANING,
,,,,,,GUARD,"GIBBET, GALLOWS",,,,,WILLFUL,
,,,,,,GYM INSTRUCTOR - SPORT AND FITNESS,GLACIER,,,,,WISHFUL,
,,,,,,HAIR STYLIST - HAIRDRESSING,GLACIER NATIONAL PARK,,,,,ZANY,
,,,,,,HEAD HUNTER,GOLDEN GATE BRIDGE,,,,,,
,,,,,,HEALER,GRACELAND,,,,,,
,,,,,,HEALTH AND SAFETY INSPECTOR - ENVIRONMENTAL SERVICES,GRANARY,,,,,,
,,,,,,HEALTH AND SAFETY OFFICER - ENVIRONMENTAL SERVICES,GRAND CANYON,,,,,,
,,,,,,HEALTH IMPROVEMENT OFFICER - NURSING AND AUXILIARY WORK,GRAND CENTRAL TERMINAL,,,,,,
,,,,,,HEALTH RECORDS STAFF - PUBLIC SERVICES ADMINISTRATION,GRANGE - FARMHOUSE & OUTBUILDINGS,,,,,,
,,,,,,HEALTH SERVICE MANAGER - PUBLIC SERVICES ADMINISTRATION,"GRAVE (+ FRESH, MARKER, MASS, OPEN, SITE, STONE, VACATED, YARD)",,,,,,
,,,,,,HEALTH VISITOR OR PUBLIC HEALTH NURSE - NURSING AND AUXILIARY WORK,GRAVE YARD,,,,,,
,,,,,,HEAT TREATMENT OPERATIVE - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),GREAT BUDDHA,,,,,,
,,,,,,HEATING AND VENTILATION ENGINEER - ENGINEERING GENERAL,GREAT WALL OF CHINA,,,,,,
,,,,,,HELICOPTER PILOT - AIR TRANSPORT,GREENHOUSE,,,,,,
,,,,,,HERBALIST - ALTERNATIVE MEDICINE,GRIFFITH OBSERVATORY,,,,,,
,,,,,,HERDER,GROCERY STORE,,,,,,
,,,,,,HERITAGE CENTRE MANAGER - CULTURE AND HERITAGE,"GROUNDS (+ BURIAL, FAIR, PARADE, SACRED, TOURNEY, TRAINING)",,,,,,
,,,,,,HOLIDAY CENTRE WORKER - TRAVEL AND TOURISM,GUARD POST,,,,,,
,,,,,,HOMEOPATH - ALTERNATIVE MEDICINE,GUEST ROOM,,,,,,
,,,,,,HOSPITAL PORTER - NURSING AND AUXILIARY WORK,GUGGENHEIM MUSEUM (BILBAO),,,,,,
,,,,,,HOTEL GENERAL MANAGER - HOSPITALITY,"GUILD, GUILD HALL, GUILD HOUSE",,,,,,
,,,,,,HOTEL PORTER - HOSPITALITY,GYM,,,,,,
,,,,,,HOTEL RECEPTIONIST - HOSPITALITY,HABERDASHERY,,,,,,
,,,,,,HOUSEKEEPING MANAGER - HOSPITALITY,HAGIA SOPHIA,,,,,,
,,,,,,HOUSING OFFICER - HOUSING,HAIRDRESSER,,,,,,
,,,,,,HUMAN RESOURCES OFFICER OR MANAGER - HUMAN RESOURCE MANAGEMENT,"HALL (+ CITY, GAMBLING, GUILD, MEAD, MEETING, MUSIC, OPERA, TOWN, TRAINING)",,,,,,
,,,,,,HYPNOTHERAPIST - ALTERNATIVE MEDICINE,"HANGING TREE, HANGMANS TREE",,,,,,
,,,,,,ILLUSTRATOR - FINE ART OR GRAPHIC DESIGN,HARBOR,,,,,,
,,,,,,IMMIGRATION OFFICER - POLICE AND SECURITY WORK,HARDWARE STORE,,,,,,
,,,,,,INDEXER - PUBLISHING AND WRITING,HARVARD UNIVERSITY,,,,,,
,,,,,,INSURANCE ACCOUNT MANAGER - FINANCIAL SERVICES,"HATCHERY (ANIMAL, BEAST, MONSTER)",,,,,,
,,,,,,INSURANCE BROKER - FINANCIAL SERVICES,HEAVEN,,,,,,
,,,,,,INSURANCE CLAIMS HANDLER - FINANCIAL SERVICES,HEDGE MAZE,,,,,,
,,,,,,INSURANCE LOSS ADJUSTER - FINANCIAL SERVICES,HELICOPTER,,,,,,
,,,,,,INSURANCE RISK SURVEYOR - FINANCIAL SERVICES,HENGE,,,,,,
,,,,,,INSURANCE UNDERWRITER - FINANCIAL SERVICES,HIDEOUT,,,,,,
,,,,,,INTERIOR DESIGNER - INTERIOR DESIGN OR DISPLAY,HIGH-RISE BUILDING,,,,,,
,,,,,,INTERPRETER,HISTORIC CHARLESTON,,,,,,
,,,,,,INTERPRETER - LANGUAGES,HOBBY STORE,,,,,,
,,,,,,INVESTMENT ANALYST - FINANCIAL SERVICES,HOLD,,,,,,
,,,,,,INVESTMENT BANKER - FINANCIAL SERVICES,HOLLYWOOD SIGN,,,,,,
,,,,,,INVESTMENT OPERATIONS ADMINISTRATOR - FINANCIAL SERVICES,HOLLYWOOD STUDIOS,,,,,,
,,,,,,IT HELPDESK ANALYST - IT SUPPORT,HOLLYWOOD WALK OF FAME,,,,,,
,,,,,,IT SUPPORT ENGINEER - IT SUPPORT,HOME,,,,,,
,,,,,,IT TRAINER - COMPUTING GENERAL,HOME IMPROVEMENT STORE,,,,,,
,,,,,,JACK OF ALL TRADES,HOMESTEAD,,,,,,
,,,,,,JACK THE RIPPER,HOMESTEAD NATIONAL MONUMENT OF AMERICA,,,,,,
,,,,,,JEWELLER - RETAIL - RETAIL AND SALES,"HOOKAH (+ BAR, DEN, LOUNGE, PARLOR)",,,,,,
,,,,,,JEWELLERY DESIGNER - 3 DIMENSIONAL DESIGN,HOOVER DAM,,,,,,
,,,,,,JOINER OR CARPENTER - CONSTRUCTION CRAFTS,HORREUM (WAREHOUSE),,,,,,
